GRID_ID,mean_value,permit_count,Gi_star,p_value,hotspot
GRID_15_09,132983.33333333334,6,-0.1324755790031744,0.303,Not Significant
GRID_15_10,397250.0,8,-0.08806654080950908,0.446,Not Significant
GRID_15_11,66000.0,1,-0.1316632950418637,0.338,Not Significant
GRID_15_13,23250.0,4,-0.3188450724570104,0.218,Not Significant
GRID_15_14,282812.5,16,-0.33950656565050386,0.047,Not Significant
GRID_15_15,179800.0,1,-0.26782621033827847,0.27,Not Significant
GRID_15_18,282000.0,3,-0.23693717816663523,0.272,Not Significant
GRID_15_19,100250.0,4,-0.21627098062587552,0.362,Not Significant
GRID_15_20,150333.33333333334,3,-0.29569761175395953,0.167,Not Significant
GRID_15_21,66000.0,2,-0.36023812001578437,0.106,Not Significant
GRID_15_22,25000.0,2,-0.40933672038431945,0.074,Not Significant
GRID_15_23,32000.0,1,0.2602119684706133,0.184,Not Significant
GRID_15_24,1903000.0,1,0.6403200913543732,0.199,Not Significant
GRID_16_12,212500.0,2,-0.24233776882832253,0.315,Not Significant
GRID_16_13,7500.0,1,-0.1658556670599896,0.458,Not Significant
GRID_16_14,130000.0,6,-0.2656000940104583,0.318,Not Significant
GRID_16_16,64500.0,2,-0.30833035227967165,0.425,Not Significant
GRID_16_17,156500.0,2,-0.250636237406037,0.443,Not Significant
GRID_16_19,242833.3333333333,6,-0.13953837236561326,0.484,Not Significant
GRID_16_20,104333.33333333331,3,-0.2846392594466952,0.319,Not Significant
GRID_16_21,6400.0,1,-0.34113712601547636,0.233,Not Significant
GRID_16_22,7633.333333333333,3,-0.37352991719184836,0.152,Not Significant
GRID_16_23,122250.0,4,0.22602435680388794,0.225,Not Significant
GRID_16_24,28000.0,2,0.6403200913543732,0.086,Not Significant
GRID_17_12,440800.0,5,-0.14546584992112366,0.314,Not Significant
GRID_17_13,32500.0,2,-0.20887776287211476,0.453,Not Significant
GRID_17_14,185000.0,1,-0.37273098461611237,0.077,Not Significant
GRID_17_17,4000.0,1,-0.40136352381758744,0.281,Not Significant
GRID_17_22,247000.0,2,-0.35291251045273603,0.065,Not Significant
GRID_18_14,8400.0,1,-0.36681479749404106,0.471,Not Significant
GRID_18_18,15000.0,1,-0.3343736187457873,0.48,Not Significant
GRID_18_20,173666.66666666666,3,-0.19989201156045053,0.45,Not Significant
GRID_18_21,24000.0,1,-0.202150098248264,0.298,Not Significant
GRID_19_19,250000.0,1,-0.2675718875646382,0.254,Not Significant
GRID_20_20,38333.333333333336,3,-0.11057213813138363,0.233,Not Significant
GRID_20_21,278000.0,1,-0.17969468063056318,0.356,Not Significant
